# Time-averaged data for fix 1
# TimeStep v_sim_time v_T_trans v_T_rot
347 3.47e-10 2368.69 1900.56
348 3.48e-10 2367.75 1902.71
349 3.49e-10 2367.47 1900.61
350 3.5e-10 2369.68 1899.62
351 3.51e-10 2369.77 1902.11
352 3.52e-10 2368.88 1901.27
353 3.53e-10 2369.88 1900.86
354 3.54e-10 2370.79 1901.21
355 3.55e-10 2369.39 1901.73
356 3.56e-10 2369.2 1904.28
357 3.57e-10 2367.07 1904.85
358 3.58e-10 2367.59 1904.58
359 3.59e-10 2367.05 1907.34
360 3.6e-10 2364.36 1907.09
361 3.61e-10 2362.15 1908.84
362 3.62e-10 2363.14 1909.56
363 3.63e-10 2359.71 1913.76
364 3.64e-10 2359.01 1916.69
365 3.65e-10 2358.52 1916.03
366 3.66e-10 2357.49 1919.82
367 3.67e-10 2355.72 1924.91
368 3.68e-10 2355.7 1926.51
369 3.69e-10 2353.96 1925.06
370 3.7e-10 2352.75 1926.15
371 3.71e-10 2352.51 1929.04
372 3.72e-10 2354.22 1930.48
373 3.73e-10 2349.84 1929.98
374 3.74e-10 2349.63 1931.64
375 3.75e-10 2349.77 1932.52
376 3.76e-10 2348.36 1932.3
377 3.77e-10 2348.02 1934.76
378 3.78e-10 2345.31 1937.45
379 3.79e-10 2347.33 1937.04
380 3.8e-10 2346.62 1938.22
381 3.81e-10 2345.3 1934.73
382 3.82e-10 2346.76 1936.65
383 3.83e-10 2346.04 1936.14
384 3.84e-10 2346.49 1937.57
385 3.85e-10 2342.17 1940.05
386 3.86e-10 2339.7 1941.79
387 3.87e-10 2341.62 1942.45
388 3.88e-10 2341.44 1942.85
389 3.89e-10 2340.37 1942.34
390 3.9e-10 2339.86 1946.25
391 3.91e-10 2340.81 1945.49
392 3.92e-10 2340.49 1947.11
393 3.93e-10 2339.64 1945.23
394 3.94e-10 2339.62 1947.56
395 3.95e-10 2339.11 1946.26
396 3.96e-10 2338.97 1944.46
397 3.97e-10 2338.47 1946.01
398 3.98e-10 2339.25 1947.89
399 3.99e-10 2339.8 1947.21
400 4e-10 2339.26 1948.22
401 4.01e-10 2339.42 1946.83
402 4.02e-10 2336.36 1948.61
403 4.03e-10 2337.01 1949.79
404 4.04e-10 2337.64 1951.18
405 4.05e-10 2338.11 1951.85
406 4.06e-10 2336.76 1954.46
407 4.07e-10 2335.04 1956.2
408 4.08e-10 2334.54 1955.4
409 4.09e-10 2333.35 1953.89
410 4.1e-10 2334.2 1958.18
411 4.11e-10 2333.25 1959.51
412 4.12e-10 2331.49 1960.27
413 4.13e-10 2329.95 1959.32
414 4.14e-10 2330.64 1957.49
415 4.15e-10 2331.97 1959.48
416 4.16e-10 2329.42 1960.59
417 4.17e-10 2329.01 1961.7
418 4.18e-10 2328.52 1964.06
419 4.19e-10 2326.56 1964.68
420 4.2e-10 2323.93 1965.83
421 4.21e-10 2325.34 1967.68
422 4.22e-10 2325.41 1967.16
423 4.23e-10 2323.49 1969.45
424 4.24e-10 2323.99 1970.23
425 4.25e-10 2322.48 1972.61
426 4.26e-10 2322.64 1975.27
427 4.27e-10 2322.09 1974.57
428 4.28e-10 2320.22 1973.66
429 4.29e-10 2314.79 1981.18
430 4.3e-10 2314.07 1982
431 4.31e-10 2315.36 1982.98
432 4.32e-10 2314.85 1986.18
433 4.33e-10 2311.64 1987.61
434 4.34e-10 2311.42 1987.28
435 4.35e-10 2314.41 1983.97
436 4.36e-10 2312.16 1986.8
437 4.37e-10 2311 1987.31
438 4.38e-10 2310.72 1984.95
439 4.39e-10 2311.25 1987.9
440 4.4e-10 2308.27 1989.88
441 4.41e-10 2309.42 1989.83
442 4.42e-10 2312.05 1987.86
443 4.43e-10 2310.33 1989.94
444 4.44e-10 2307.45 1995.49
445 4.45e-10 2309.32 1995.13
446 4.46e-10 2308.6 1996.26
447 4.47e-10 2307.92 1998.22
448 4.48e-10 2309.2 1993.96
449 4.49e-10 2306.53 1996.13
450 4.5e-10 2307.87 1997.56
451 4.51e-10 2307.13 1996.64
452 4.52e-10 2305.43 1998.78
453 4.53e-10 2304.34 1997.84
454 4.54e-10 2306.15 1996.96
455 4.55e-10 2305.08 1997.33
456 4.56e-10 2303.44 1999.25
457 4.57e-10 2303.29 1998.41
458 4.58e-10 2303.79 1998.91
459 4.59e-10 2303.03 2000.75
460 4.6e-10 2300.11 2005.71
461 4.61e-10 2301.02 2003.64
462 4.62e-10 2299.11 2004.94
463 4.63e-10 2298.08 2005.64
464 4.64e-10 2298.5 2006.21
465 4.65e-10 2298.54 2009.8
466 4.66e-10 2298.5 2009.5
467 4.67e-10 2297.72 2008.85
468 4.68e-10 2295.94 2012.41
469 4.69e-10 2295.46 2011.7
470 4.7e-10 2295.43 2011.85
471 4.71e-10 2295.07 2015.34
472 4.72e-10 2293.9 2014.7
473 4.73e-10 2293.92 2013.22
474 4.74e-10 2293.74 2016.8
475 4.75e-10 2294.08 2014.94
476 4.76e-10 2291.1 2017.86
477 4.77e-10 2289.63 2019.96
478 4.78e-10 2289.13 2019.89
479 4.79e-10 2288.38 2021.38
480 4.8e-10 2290.68 2021.76
481 4.81e-10 2288.3 2021.53
482 4.82e-10 2288.29 2022.7
483 4.83e-10 2286.33 2020.7
484 4.84e-10 2285.36 2024
485 4.85e-10 2285.05 2024.55
486 4.86e-10 2287.32 2023.79
487 4.87e-10 2289.56 2023.67
488 4.88e-10 2287.05 2023.83
489 4.89e-10 2286.59 2025.76
490 4.9e-10 2285.68 2023.14
491 4.91e-10 2285.19 2026.86
492 4.92e-10 2284.1 2030.65
493 4.93e-10 2283.5 2033.34
494 4.94e-10 2282.79 2033.01
495 4.95e-10 2284.05 2032.99
496 4.96e-10 2283.17 2033.92
497 4.97e-10 2281.81 2031.47
498 4.98e-10 2282.48 2031.62
499 4.99e-10 2281.42 2034.51
500 5e-10 2277.88 2035.88
501 5.01e-10 2277.71 2034.41
502 5.02e-10 2278.72 2035.89
503 5.03e-10 2278.81 2036.84
504 5.04e-10 2278.24 2039.42
505 5.05e-10 2279.3 2035.89
506 5.06e-10 2278.06 2036.09
507 5.07e-10 2277.22 2035.84
508 5.08e-10 2277.38 2037.31
509 5.09e-10 2278.34 2037.33
510 5.1e-10 2277.25 2040.07
511 5.11e-10 2277.9 2038.28
512 5.12e-10 2276.98 2040.08
513 5.13e-10 2278.03 2039.17
514 5.14e-10 2278.61 2039.34
515 5.15e-10 2279.79 2039.53
516 5.16e-10 2278.13 2038.46
517 5.17e-10 2277.67 2039.32
518 5.18e-10 2276.88 2040.3
519 5.19e-10 2278.23 2037.03
520 5.2e-10 2276.51 2039.36
521 5.21e-10 2276.11 2041.38
522 5.22e-10 2275.53 2040.75
523 5.23e-10 2274.6 2041.9
524 5.24e-10 2274.45 2043.48
525 5.25e-10 2273.49 2043.29
526 5.26e-10 2273.79 2043.88
527 5.27e-10 2271.9 2043.39
528 5.28e-10 2272.25 2045.13
529 5.29e-10 2271.52 2045.51
530 5.3e-10 2271.93 2045.32
531 5.31e-10 2271.97 2046.81
532 5.32e-10 2269.75 2049.12
533 5.33e-10 2271.65 2046.93
534 5.34e-10 2271.91 2047.96
535 5.35e-10 2271.81 2046.5
536 5.36e-10 2270.35 2049.54
537 5.37e-10 2270.53 2049.18
538 5.38e-10 2269.31 2050.18
539 5.39e-10 2267.8 2051.54
540 5.4e-10 2268.12 2052.55
541 5.41e-10 2267.3 2052.32
542 5.42e-10 2267.08 2054.17
543 5.43e-10 2265.47 2056.46
544 5.44e-10 2266.29 2055.71
545 5.45e-10 2267.53 2056.17
546 5.46e-10 2265.29 2056.06
547 5.47e-10 2265.1 2056.1
548 5.48e-10 2265.63 2056.5
549 5.49e-10 2265.2 2055.85
550 5.5e-10 2266.39 2055.27
551 5.51e-10 2264.74 2058.07
552 5.52e-10 2263 2058.27
553 5.53e-10 2262.82 2060.07
554 5.54e-10 2262.79 2062.58
555 5.55e-10 2263.5 2062.52
556 5.56e-10 2262.82 2064.2
557 5.57e-10 2261.26 2063.87
558 5.58e-10 2260.32 2063.08
559 5.59e-10 2259.39 2064.32
560 5.6e-10 2258.39 2065.55
561 5.61e-10 2259.26 2068.01
562 5.62e-10 2257.59 2069.12
563 5.63e-10 2256.36 2068.28
564 5.64e-10 2257.63 2068.64
565 5.65e-10 2259.49 2068.2
566 5.66e-10 2258.23 2068.93
567 5.67e-10 2257.02 2071.1
568 5.68e-10 2256.09 2070.22
569 5.69e-10 2258.34 2071.91
570 5.7e-10 2256.15 2070.5
571 5.71e-10 2255.16 2070.43
572 5.72e-10 2254.93 2071.18
573 5.73e-10 2254.55 2071.04
574 5.74e-10 2255.94 2069.73
575 5.75e-10 2254.39 2073.91
576 5.76e-10 2253.48 2074.73
577 5.77e-10 2253.45 2077.23
578 5.78e-10 2254.88 2074.81
579 5.79e-10 2252.05 2076.75
580 5.8e-10 2250.83 2077.88
581 5.81e-10 2249.94 2081.8
582 5.82e-10 2250.32 2082.38
583 5.83e-10 2248.19 2082.41
584 5.84e-10 2247.31 2083.82
585 5.85e-10 2246.69 2086.96
586 5.86e-10 2247.7 2085.51
587 5.87e-10 2247.04 2084.91
588 5.88e-10 2247.29 2084.11
589 5.89e-10 2248.18 2082.77
590 5.9e-10 2246.47 2084.02
591 5.91e-10 2247.19 2084.33
592 5.92e-10 2246.71 2085.68
593 5.93e-10 2247.31 2086.59
594 5.94e-10 2245.6 2090.14
595 5.95e-10 2244.12 2090.08
596 5.96e-10 2245.49 2086.27
597 5.97e-10 2246.33 2085.33
598 5.98e-10 2243.19 2087.59
599 5.99e-10 2243.78 2088.08
600 6e-10 2243.22 2088.34
601 6.01e-10 2243.93 2087.36
602 6.02e-10 2243.41 2087.6
603 6.03e-10 2243.9 2087.48
604 6.04e-10 2245.06 2087.23
605 6.05e-10 2244.96 2088.57
606 6.06e-10 2245.49 2089.69
607 6.07e-10 2242.99 2090.56
608 6.08e-10 2242.83 2091.48
609 6.09e-10 2242.41 2093.65
610 6.1e-10 2239.54 2095.89
611 6.11e-10 2240.03 2096.19
612 6.12e-10 2237.13 2099.2
613 6.13e-10 2236.54 2101.36
614 6.14e-10 2235.11 2101.93
615 6.15e-10 2235.77 2102.59
616 6.16e-10 2237.37 2100.9
617 6.17e-10 2237.01 2101.15
618 6.18e-10 2237.57 2101.42
619 6.19e-10 2236.2 2103.14
620 6.2e-10 2235.32 2105.02
621 6.21e-10 2234.19 2106
622 6.22e-10 2234.05 2107.06
623 6.23e-10 2234.3 2106.52
624 6.24e-10 2235.06 2104.68
625 6.25e-10 2235.96 2104.2
626 6.26e-10 2234.98 2104.32
627 6.27e-10 2237.77 2100.8
628 6.28e-10 2234.88 2104.8
629 6.29e-10 2233.53 2105.15
630 6.3e-10 2234.86 2107.31
631 6.31e-10 2234.02 2105.17
632 6.32e-10 2234.34 2105.78
633 6.33e-10 2234.1 2108.72
634 6.34e-10 2233.86 2106.48
635 6.35e-10 2232.25 2108.92
636 6.36e-10 2232.23 2109.17
637 6.37e-10 2230.14 2108.54
638 6.38e-10 2233.53 2110.49
639 6.39e-10 2233.32 2109.91
640 6.4e-10 2233.82 2108.27
641 6.41e-10 2234.07 2105.06
642 6.42e-10 2232.25 2105.75
643 6.43e-10 2234 2106.65
644 6.44e-10 2233.07 2106.54
645 6.45e-10 2233.65 2105.7
646 6.46e-10 2229.48 2108.76
647 6.47e-10 2229.79 2110.33
648 6.48e-10 2230.07 2111.43
649 6.49e-10 2231.33 2110.65
650 6.5e-10 2232.25 2111.35
651 6.51e-10 2228.99 2110.75
652 6.52e-10 2230.64 2109.8
653 6.53e-10 2230.84 2110.65
654 6.54e-10 2228.99 2110.22
655 6.55e-10 2230.12 2108.31
656 6.56e-10 2231.23 2108.14
657 6.57e-10 2230.17 2110.86
658 6.58e-10 2229.2 2112.89
659 6.59e-10 2230.36 2113.11
660 6.6e-10 2230.32 2110.41
661 6.61e-10 2229.2 2113.57
662 6.62e-10 2229.41 2114
663 6.63e-10 2227.18 2116.31
664 6.64e-10 2227.7 2114.94
665 6.65e-10 2225.93 2114.36
666 6.66e-10 2226.63 2112.57
667 6.67e-10 2228.57 2111.93
668 6.68e-10 2227.13 2112.86
669 6.69e-10 2226.9 2114.95
670 6.7e-10 2227.9 2115.01
671 6.71e-10 2227.79 2114.46
672 6.72e-10 2227.11 2115.95
673 6.73e-10 2225.22 2117.14
674 6.74e-10 2226.54 2116.63
675 6.75e-10 2227.53 2115.64
676 6.76e-10 2225.4 2116.05
677 6.77e-10 2227.51 2114.44
678 6.78e-10 2226.97 2116.02
679 6.79e-10 2226.53 2115.09
680 6.8e-10 2225.43 2116.41
681 6.81e-10 2225.77 2119.01
682 6.82e-10 2224.75 2119.01
683 6.83e-10 2226.07 2117.67
684 6.84e-10 2223.65 2119.46
685 6.85e-10 2223.54 2117.91
686 6.86e-10 2223.23 2118.95
687 6.87e-10 2222.19 2121.87
688 6.88e-10 2220.35 2122.68
689 6.89e-10 2223.39 2122.58
690 6.9e-10 2221.7 2122.71
691 6.91e-10 2219.99 2121.88
692 6.92e-10 2220.91 2124.79
693 6.93e-10 2221.42 2123.09
694 6.94e-10 2220.71 2125.38
695 6.95e-10 2220.01 2127.98
696 6.96e-10 2219.14 2127.56
697 6.97e-10 2217.92 2126.87
698 6.98e-10 2219.25 2127.56
699 6.99e-10 2219.7 2127.16
700 7e-10 2218.09 2127.71
701 7.01e-10 2218.66 2128.41
702 7.02e-10 2217.37 2128.07
703 7.03e-10 2218.29 2129.59
704 7.04e-10 2218.66 2128.73
705 7.05e-10 2217.79 2129.48
706 7.06e-10 2216.76 2131.29
707 7.07e-10 2218.23 2129.53
708 7.08e-10 2219.02 2129.86
709 7.09e-10 2217.69 2129.53
710 7.1e-10 2217.79 2129.76
711 7.11e-10 2217.63 2130.9
712 7.12e-10 2218 2128.87
713 7.13e-10 2217.5 2129.13
714 7.14e-10 2216.17 2128.95
715 7.15e-10 2218.01 2130.04
716 7.16e-10 2215.17 2133.96
717 7.17e-10 2215.33 2132.26
718 7.18e-10 2215.45 2130.07
719 7.19e-10 2216.47 2129.05
720 7.2e-10 2215.3 2129.86
721 7.21e-10 2214.18 2130.88
722 7.22e-10 2215.25 2131.46
723 7.23e-10 2216.04 2130.96
724 7.24e-10 2216.15 2130.36
