timestep simtime Ttrans Trot
1950 1.9499999999999999709e-12 3000.4420841982800994 1024.1356455660852589
1960 1.9600000000000001302e-12 3000.6541740423799638 1024.3010431738507577
1970 1.9700000000000002896e-12 3000.6292546043600851 1024.2627037977028976
1980 1.980000000000000045e-12 3000.3518437284601532 1024.3803083426389549
1990 1.9900000000000002043e-12 3000.6704126836198157 1024.265048333074219
2000 1.9999999999999999598e-12 3000.3972651305098225 1024.3240786861299512
2010 2.0100000000000001191e-12 3000.2602459645900126 1024.5302765263350011
2020 2.0200000000000002784e-12 3000.4194110115900003 1024.7493348758366665
2030 2.0300000000000000339e-12 3000.0008343886797775 1025.0260868692134864
2040 2.0400000000000001932e-12 2999.8038691976598784 1025.3657740715404998
2050 2.0500000000000003526e-12 2999.6053666929601604 1025.475708550405443
2060 2.060000000000000108e-12 2999.6298379394897893 1025.5966154370089498
2070 2.0700000000000002673e-12 2999.575471879430097 1025.7534066109772084
2080 2.0800000000000000228e-12 2999.270824791799896 1026.0398991599474812
2090 2.0900000000000001821e-12 2999.0576398341099775 1026.1601807949739396
2100 2.1000000000000003415e-12 2999.359041193649773 1026.2415986100820646
2110 2.1100000000000000969e-12 2999.2119247897799141 1026.1789333714125405
2120 2.1200000000000002562e-12 2998.8800164888298241 1026.453394334309678
2130 2.1300000000000000117e-12 2998.4101914740399479 1027.4098494228371692
2140 2.140000000000000171e-12 2998.4280142341899591 1027.728276642100127
2150 2.1500000000000003304e-12 2998.4150497103200905 1027.6483990877643464
2160 2.1600000000000000858e-12 2997.9955044579201058 1027.9639159073637984
2170 2.1700000000000002451e-12 2998.2528779757199118 1027.9052367893050359
2180 2.1800000000000000006e-12 2997.7857534488798592 1028.0512767194202297
2190 2.1900000000000001599e-12 2997.6592810359497889 1028.297708276590356
2200 2.2000000000000003193e-12 2997.8726917646499714 1028.3822151249271428
2210 2.2100000000000000747e-12 2997.3740508562600553 1028.6685506553317282
2220 2.220000000000000234e-12 2997.5951225090798289 1028.7377356617596433
2230 2.2299999999999999895e-12 2997.4908307613300167 1028.9356682220809489
2240 2.2400000000000001488e-12 2997.4434446551899782 1028.9582254931183343
2250 2.2500000000000003082e-12 2997.3950092780501109 1029.1126771045965143
2260 2.2600000000000000636e-12 2997.5327394597097737 1028.9692000570603341
2270 2.2700000000000002229e-12 2997.5202100774099563 1028.8365924652757712
2280 2.2799999999999999784e-12 2997.4628148648598653 1028.8268816397946921
2290 2.2900000000000001377e-12 2997.0384147463300906 1029.4561252282169335
2300 2.3000000000000002971e-12 2997.104870476529868 1029.300787166326927
2310 2.3100000000000000525e-12 2997.0924705241200172 1029.4576727534629299
2320 2.3200000000000002118e-12 2996.8025024938901879 1029.8756106201565217
2330 2.3300000000000003712e-12 2996.5058716378998724 1029.748488797860773
2340 2.3400000000000001266e-12 2996.6692629082299391 1029.900317124539697
2350 2.3500000000000002859e-12 2996.8303379992498776 1029.9047513964414975
2360 2.3600000000000000414e-12 2996.8282609254902127 1029.9130055155155787
2370 2.3700000000000002007e-12 2996.6467005256599805 1030.0923215196210094
2380 2.3800000000000003601e-12 2996.7313128733599115 1029.8648830317297325
2390 2.3900000000000001155e-12 2996.8669182127600834 1029.8026877494271503
2400 2.4000000000000002748e-12 2996.6159439095999915 1029.8770045032204052
2410 2.4100000000000000303e-12 2996.7278940600099304 1029.8916218468236821
2420 2.4200000000000001896e-12 2996.7825357338701906 1030.0295778704610257
2430 2.430000000000000349e-12 2996.8293964645799861 1030.0805959384463222
2440 2.4400000000000001044e-12 2996.566957712329895 1030.0921246751456692
2450 2.4500000000000002637e-12 2996.3373693090197776 1030.5388052757846253
2460 2.4600000000000000192e-12 2996.3155315020799208 1030.4140757009429308
2470 2.4700000000000001785e-12 2996.5077156516799732 1030.3978855129294061
2480 2.4800000000000003379e-12 2996.6076461807301712 1030.378770082152414
2490 2.4900000000000000933e-12 2996.3756886592300361 1030.7007373939234185
2500 2.5000000000000002526e-12 2996.2972581846102003 1030.8037444436222358
2510 2.5100000000000000081e-12 2996.148746321679937 1030.7936866871016264
2520 2.5200000000000001674e-12 2996.4711845156098207 1030.590028044669225
2530 2.5300000000000003268e-12 2996.0196955206001803 1030.6542721843727577
2540 2.5400000000000000822e-12 2995.8836956643799567 1031.0751273339237741
2550 2.5500000000000002415e-12 2995.8735487715298405 1031.296098432188046
2560 2.5600000000000004009e-12 2995.9321212067397937 1031.2689402658204472
2570 2.5700000000000001563e-12 2995.5405873283898472 1031.7779767204604013
2580 2.5800000000000003157e-12 2995.7003470752401881 1031.6853175872640804
2590 2.5900000000000000711e-12 2995.5554500719999851 1031.7606734036667149
2600 2.6000000000000002304e-12 2995.6686733565002214 1031.6558925533552156
2610 2.6100000000000003898e-12 2995.7567726917600339 1031.6751364140327496
2620 2.6200000000000001452e-12 2995.526963651620008 1031.8299456417455531
2630 2.6300000000000003046e-12 2995.2334490435500811 1032.0531572162528846
2640 2.64000000000000006e-12 2995.3984240781101107 1032.2025826671340383
2650 2.6500000000000002193e-12 2994.9639289026599727 1032.678233145360764
2660 2.6600000000000003787e-12 2994.7895709337699373 1032.714803559367283
2670 2.6700000000000001341e-12 2994.9533161678500619 1032.7375185842254268
2680 2.6800000000000002934e-12 2994.8415217662800387 1032.8490585392423782
2690 2.6900000000000000489e-12 2994.8609444370199526 1032.9292835679527798
2700 2.7000000000000002082e-12 2994.9033943960798752 1032.8324856083097529
2710 2.7100000000000003676e-12 2994.5543450966702039 1033.3589937628175903
2720 2.720000000000000123e-12 2994.4672512405199996 1033.221816240006774
2730 2.7300000000000002823e-12 2994.6509888963901176 1033.2543524983484531
2740 2.7400000000000000378e-12 2994.6418801039299069 1033.4248337107312636
2750 2.7500000000000001971e-12 2994.5646791213398501 1033.2906933634249071
2760 2.7600000000000003565e-12 2994.4697459795997929 1033.2741500374406769
2770 2.7700000000000001119e-12 2994.6358343112601688 1033.4355423413794597
2780 2.7800000000000002712e-12 2994.1931441430101586 1033.5692481549788226
2790 2.7900000000000000267e-12 2994.2111862676101737 1033.463530106807184
2800 2.800000000000000186e-12 2994.5989705961901564 1033.2196071439661864
2810 2.8100000000000003454e-12 2994.6263599071498902 1033.2069450057961149
2820 2.8200000000000001008e-12 2994.1531863402501585 1033.5322428009421856
2830 2.8300000000000002601e-12 2994.1560192286301572 1033.9387209779845307
2840 2.8400000000000004195e-12 2994.1712108106698906 1033.9195223472570433
2850 2.8500000000000001749e-12 2994.1767895524899359 1033.9421715592341116
2860 2.8600000000000003343e-12 2994.2292552953299491 1033.880817140469162
2870 2.8700000000000000897e-12 2994.0538084433501353 1033.9306589984828406
2880 2.880000000000000249e-12 2993.7964618447599605 1034.3279840975878869
2890 2.8900000000000004084e-12 2994.0303879958401012 1034.2792756554563312
2900 2.9000000000000001638e-12 2993.9187046221400124 1034.2630061155932708
2910 2.9100000000000003232e-12 2993.8110623050902177 1034.5181640046330358
2920 2.9200000000000000786e-12 2993.6734825326298051 1034.3697562580368867
2930 2.9300000000000002379e-12 2993.5985487291400204 1034.5504004796587196
2940 2.9400000000000003973e-12 2993.3426170857201214 1034.9832532100740536
2950 2.9500000000000001527e-12 2993.146061548130092 1035.1048149670148177
2960 2.960000000000000312e-12 2993.1780965326797741 1035.4702763679547388
2970 2.9700000000000000675e-12 2993.1717784878601378 1035.3694531206501779
2980 2.9800000000000002268e-12 2992.9729754517397851 1035.4995390353969924
2990 2.9900000000000003862e-12 2992.9375736286801839 1035.6852631007100172
3000 3.0000000000000001416e-12 2992.444599091640157 1036.1265392275072372
3010 3.0100000000000003009e-12 2992.6314832039802241 1036.1343767695200313
3020 3.0200000000000000564e-12 2992.8726267278998421 1035.9977122471182156
3030 3.0300000000000002157e-12 2992.7951273966000372 1036.0291316387379084
3040 3.0400000000000003751e-12 2992.5608717720101595 1036.4301978103496822
3050 3.0500000000000001305e-12 2992.3715485592801997 1036.3905193468783636
3060 3.0600000000000002898e-12 2992.5648980039500202 1036.3697199626385554
3070 3.0700000000000000453e-12 2992.3937655013401127 1036.4621269070432845
3080 3.0800000000000002046e-12 2992.0178532324198386 1036.7204852627371565
3090 3.090000000000000364e-12 2992.6405900997701792 1036.4090734341759799
3100 3.1000000000000001194e-12 2992.6435772698300752 1036.421402313179442
3110 3.1100000000000002787e-12 2991.7085331849398244 1036.8713868914828709
3120 3.1200000000000004381e-12 2992.3187396316798186 1036.6993650049173539
3130 3.1300000000000001935e-12 2991.8154320969501896 1037.2365193955190534
3140 3.1400000000000003529e-12 2991.6450054987499243 1037.773992627515554
3150 3.1500000000000001083e-12 2991.3891316668400577 1037.8829049028061036
3160 3.1600000000000002676e-12 2991.2158217808801055 1038.3198067991866083
3170 3.170000000000000427e-12 2990.9082402345798073 1038.66037098355946
3180 3.1800000000000001824e-12 2990.9434229888997834 1038.6132471557434656
3190 3.1900000000000003418e-12 2990.8916207662300621 1038.4996024386416593
3200 3.2000000000000000972e-12 2991.0037942267399558 1038.5444572961664562
3210 3.2100000000000002565e-12 2991.0772283883397904 1038.6733746514075847
3220 3.2200000000000004159e-12 2990.3678246788099386 1039.0066708020310671
3230 3.2300000000000001713e-12 2990.6053419442700942 1039.1538657526509724
3240 3.2400000000000003307e-12 2990.5560887206997904 1039.0367816436364592
3250 3.2500000000000000861e-12 2990.8475415947500551 1038.9779505374456221
3260 3.2600000000000002454e-12 2990.606654730650007 1039.2136547394895842
3270 3.2700000000000004048e-12 2990.2364824122100799 1039.2687504543334853
3280 3.2800000000000001602e-12 2990.3861259222799163 1039.4678449950201866
3290 3.2900000000000003195e-12 2990.3599367048100248 1039.6299953717780227
3300 3.300000000000000075e-12 2990.1882988356301212 1039.5404095700318976
3310 3.3100000000000002343e-12 2990.4917074338300154 1039.6245997956571046
3320 3.3200000000000003937e-12 2990.0391793843000414 1039.7509301611005412
3330 3.3300000000000001491e-12 2989.9350175127801776 1039.8185892974477156
3340 3.3400000000000003084e-12 2989.8830061607300195 1040.1411987205999594
3350 3.3500000000000000639e-12 2989.9999244160999297 1040.2019772432759055
3360 3.3600000000000002232e-12 2989.6216732305601909 1040.2766023147307806
3370 3.3700000000000003826e-12 2989.493407453780037 1040.8347255005940042
3380 3.380000000000000138e-12 2989.2912450119501955 1040.9465178884581746
3390 3.3900000000000002973e-12 2989.3402213650902013 1040.9864660355835895
3400 3.4000000000000004567e-12 2989.5536122503199294 1040.9621259560849467
3410 3.4100000000000002121e-12 2989.5354829295902164 1040.9369556013841702
3420 3.4200000000000003715e-12 2989.1433563530599713 1041.0869079305398373
3430 3.4300000000000001269e-12 2989.0311021202901429 1041.4888377861659592
3440 3.4400000000000002862e-12 2988.9666645911897831 1041.3475926895096109
3450 3.4500000000000004456e-12 2988.908360010530032 1041.6225711630199839
3460 3.460000000000000201e-12 2988.5468112299799941 1042.109646888445468
3470 3.4700000000000003604e-12 2988.5882025702399005 1042.3529176441888922
3480 3.4800000000000001158e-12 2988.5501388112597851 1042.360208916725469
